0.00.071.179 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.072.912 I srv    load_model: loading model '/Users/wilsonxu/Models/ornith-256k/llamacpp/models/Ornith-1.5-35B-Q4_K_M.gguf'
0.01.586.530 I cmn          init: llama threadpool init, n_threads = 12
0.01.616.404 I common_speculative_init_result: creating MTP draft context against the target model '/Users/wilsonxu/Models/ornith-256k/llamacpp/models/Ornith-1.5-35B-Q4_K_M.gguf'
0.01.643.534 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.01.657.718 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.657.724 I srv  llama_server: model loaded
0.01.657.726 I srv  llama_server: listening on http://127.0.0.1:7872
0.49.519.305 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.49.037.416 I slot print_timing: id  0 | task 597 |        eval time =    1800.81 ms /    31 tokens (   60.03 ms per token,    16.66 tokens per second)
3.49.037.417 I slot print_timing: id  0 | task 597 |       total time =   83488.94 ms / 32478 tokens
3.49.037.417 I slot print_timing: id  0 | task 597 |    graphs reused =        566
3.49.037.421 I slot print_timing: id  0 | task 597 | draft acceptance = 0.38095 (   16 accepted /    42 generated), mean len =  2.14
3.49.038.136 I slot      release: id  0 | task 597 | stop processing: n_tokens = 32477, truncated = 0
3.49.201.252 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 324361493003
3.49.310.927 I slot launch_slot_: id  0 | task 622 | processing task, is_child = 0
3.58.661.723 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =   4096, progress = 0.13, t =   6.76 s / 605.98 tokens per second
4.09.579.425 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =   8192, progress = 0.25, t =  17.28 s / 474.12 tokens per second
4.21.265.362 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =  12288, progress = 0.38, t =  28.82 s / 426.33 tokens per second
4.34.003.619 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =  16384, progress = 0.50, t =  41.15 s / 398.15 tokens per second
4.47.378.590 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =  20480, progress = 0.63, t =  54.41 s / 376.42 tokens per second
5.02.334.538 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =  24576, progress = 0.76, t =  68.74 s / 357.54 tokens per second
5.18.758.356 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =  28672, progress = 0.88, t =  84.68 s / 338.60 tokens per second
5.30.825.940 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =  31419, progress = 0.97, t =  98.10 s / 320.29 tokens per second
5.35.621.435 I slot print_timing: id  0 | task 622 | prompt processing, n_tokens =  32443, progress = 1.00, t = 101.73 s / 318.92 tokens per second
5.40.387.581 I slot print_timing: id  0 | task 622 | prompt eval time =  106732.23 ms / 32447 tokens (    3.29 ms per token,   304.00 tokens per second)
5.40.387.586 I slot print_timing: id  0 | task 622 |        eval time =    4344.35 ms /    88 tokens (   49.94 ms per token,    20.03 tokens per second)
5.40.387.587 I slot print_timing: id  0 | task 622 |       total time =  111076.58 ms / 32535 tokens
5.40.387.587 I slot print_timing: id  0 | task 622 |    graphs reused =        605
5.40.387.591 I slot print_timing: id  0 | task 622 | draft acceptance = 0.39024 (   48 accepted /   123 generated), mean len =  2.17
5.40.388.397 I slot      release: id  0 | task 622 | stop processing: n_tokens = 32536, truncated = 0
5.40.393.728 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.109 (> 0.100 thold), f_keep = 0.000
5.40.477.536 I slot launch_slot_: id  0 | task 674 | processing task, is_child = 0
5.43.851.502 I slot print_timing: id  0 | task 674 | n_gen =    102, tg =  32.61 t/s, tg_3s =  32.93 t/s
5.46.923.214 I slot print_timing: id  0 | task 674 | n_gen =    197, tg =  31.77 t/s, tg_3s =  30.93 t/s
5.49.977.016 I slot print_timing: id  0 | task 674 | n_gen =    288, tg =  31.12 t/s, tg_3s =  29.80 t/s
5.52.977.229 I slot print_timing: id  0 | task 674 | n_gen =    372, tg =  30.35 t/s, tg_3s =  28.00 t/s
5.56.001.783 I slot print_timing: id  0 | task 674 | n_gen =    461, tg =  30.17 t/s, tg_3s =  29.43 t/s
5.59.078.019 I slot print_timing: id  0 | task 674 | n_gen =    540, tg =  29.42 t/s, tg_3s =  25.68 t/s
6.02.122.078 I slot print_timing: id  0 | task 674 | n_gen =    633, tg =  29.58 t/s, tg_3s =  30.55 t/s
6.05.413.898 I slot print_timing: id  0 | task 674 | n_gen =    714, tg =  28.91 t/s, tg_3s =  24.61 t/s
6.08.437.848 I slot print_timing: id  0 | task 674 | n_gen =    831, tg =  29.98 t/s, tg_3s =  38.69 t/s
6.11.485.874 I slot print_timing: id  0 | task 674 | n_gen =    930, tg =  30.23 t/s, tg_3s =  32.48 t/s
6.14.552.862 I slot print_timing: id  0 | task 674 | n_gen =   1021, tg =  30.18 t/s, tg_3s =  29.67 t/s
6.14.738.362 I slot print_timing: id  0 | task 674 | prompt eval time =     276.80 ms /    55 tokens (    5.03 ms per token,   198.70 tokens per second)
6.14.738.368 I slot print_timing: id  0 | task 674 |        eval time =   33983.92 ms /  1024 tokens (   33.22 ms per token,    30.10 tokens per second)
6.14.738.369 I slot print_timing: id  0 | task 674 |       total time =   34260.73 ms /  1079 tokens
6.14.738.370 I slot print_timing: id  0 | task 674 |    graphs reused =       1089
6.14.738.374 I slot print_timing: id  0 | task 674 | draft acceptance = 0.36190 (  532 accepted /  1470 generated), mean len =  2.08
6.14.738.395 I slot      release: id  0 | task 674 | stop processing: n_tokens = 1078, truncated = 0
6.14.744.966 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.109 (> 0.100 thold), f_keep = 0.006
6.14.758.181 I slot launch_slot_: id  0 | task 1168 | processing task, is_child = 0
6.18.067.227 I slot print_timing: id  0 | task 1168 | n_gen =    100, tg =  32.07 t/s, tg_3s =  32.39 t/s
6.21.110.610 I slot print_timing: id  0 | task 1168 | n_gen =    199, tg =  32.30 t/s, tg_3s =  32.53 t/s
6.24.135.553 I slot print_timing: id  0 | task 1168 | n_gen =    281, tg =  30.58 t/s, tg_3s =  27.11 t/s
6.27.146.493 I slot print_timing: id  0 | task 1168 | n_gen =    376, tg =  30.82 t/s, tg_3s =  31.55 t/s
6.30.190.350 I slot print_timing: id  0 | task 1168 | n_gen =    483, tg =  31.69 t/s, tg_3s =  35.15 t/s
6.33.226.997 I slot print_timing: id  0 | task 1168 | n_gen =    585, tg =  32.01 t/s, tg_3s =  33.59 t/s
6.36.316.858 I slot print_timing: id  0 | task 1168 | n_gen =    680, tg =  31.82 t/s, tg_3s =  30.75 t/s
6.39.356.159 I slot print_timing: id  0 | task 1168 | n_gen =    791, tg =  32.41 t/s, tg_3s =  36.52 t/s
6.42.401.941 I slot print_timing: id  0 | task 1168 | n_gen =    880, tg =  32.05 t/s, tg_3s =  29.22 t/s
6.45.414.730 I slot print_timing: id  0 | task 1168 | n_gen =    979, tg =  32.13 t/s, tg_3s =  32.86 t/s
6.46.812.786 I slot print_timing: id  0 | task 1168 | prompt eval time =     221.92 ms /    55 tokens (    4.03 ms per token,   247.84 tokens per second)
6.46.812.790 I slot print_timing: id  0 | task 1168 |        eval time =   31832.61 ms /  1024 tokens (   31.12 ms per token,    32.14 tokens per second)
6.46.812.790 I slot print_timing: id  0 | task 1168 |       total time =   32054.53 ms /  1079 tokens
6.46.812.791 I slot print_timing: id  0 | task 1168 |    graphs reused =       1566
6.46.812.795 I slot print_timing: id  0 | task 1168 | draft acceptance = 0.37293 (  540 accepted /  1448 generated), mean len =  2.12
6.46.812.815 I slot      release: id  0 | task 1168 | stop processing: n_tokens = 1078, truncated = 0
6.46.834.288 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.109 (> 0.100 thold), f_keep = 0.006
6.46.856.502 I slot launch_slot_: id  0 | task 1654 | processing task, is_child = 0
6.50.143.289 I slot print_timing: id  0 | task 1654 | n_gen =    108, tg =  35.18 t/s, tg_3s =  35.50 t/s
6.53.165.277 I slot print_timing: id  0 | task 1654 | n_gen =    208, tg =  34.14 t/s, tg_3s =  33.09 t/s
6.56.223.734 I slot print_timing: id  0 | task 1654 | n_gen =    318, tg =  34.75 t/s, tg_3s =  35.97 t/s
6.59.247.572 I slot print_timing: id  0 | task 1654 | n_gen =    414, tg =  34.00 t/s, tg_3s =  31.75 t/s
7.02.256.748 I slot print_timing: id  0 | task 1654 | n_gen =    518, tg =  34.11 t/s, tg_3s =  34.56 t/s
7.05.266.070 I slot print_timing: id  0 | task 1654 | n_gen =    627, tg =  34.46 t/s, tg_3s =  36.22 t/s
7.08.275.532 I slot print_timing: id  0 | task 1654 | n_gen =    739, tg =  34.85 t/s, tg_3s =  37.22 t/s
7.11.326.130 I slot print_timing: id  0 | task 1654 | n_gen =    838, tg =  34.55 t/s, tg_3s =  32.45 t/s
7.14.340.074 I slot print_timing: id  0 | task 1654 | n_gen =    930, tg =  34.11 t/s, tg_3s =  30.52 t/s
7.16.824.856 I slot print_timing: id  0 | task 1654 | prompt eval time =     244.83 ms /    55 tokens (    4.45 ms per token,   224.64 tokens per second)
7.16.824.859 I slot print_timing: id  0 | task 1654 |        eval time =   29723.49 ms /  1024 tokens (   29.06 ms per token,    34.42 tokens per second)
7.16.824.860 I slot print_timing: id  0 | task 1654 |       total time =   29968.33 ms /  1079 tokens
7.16.824.861 I slot print_timing: id  0 | task 1654 |    graphs reused =       2019
7.16.824.864 I slot print_timing: id  0 | task 1654 | draft acceptance = 0.40916 (  563 accepted /  1376 generated), mean len =  2.23
7.16.824.915 I slot      release: id  0 | task 1654 | stop processing: n_tokens = 1078, truncated = 0
7.16.831.770 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 324569279783
7.16.858.971 I slot launch_slot_: id  0 | task 2117 | processing task, is_child = 0
7.20.179.881 I slot print_timing: id  0 | task 2117 | n_gen =    132, tg =  43.24 t/s, tg_3s =  43.56 t/s
7.23.179.975 I slot print_timing: id  0 | task 2117 | n_gen =    247, tg =  40.80 t/s, tg_3s =  38.33 t/s
7.26.194.178 I slot print_timing: id  0 | task 2117 | prompt eval time =     290.92 ms /    94 tokens (    3.09 ms per token,   323.11 tokens per second)
7.26.194.183 I slot print_timing: id  0 | task 2117 |        eval time =    9044.21 ms /   384 tokens (   23.61 ms per token,    42.35 tokens per second)
7.26.194.184 I slot print_timing: id  0 | task 2117 |       total time =    9335.13 ms /   478 tokens
7.26.194.185 I slot print_timing: id  0 | task 2117 |    graphs reused =       2153
7.26.194.188 I slot print_timing: id  0 | task 2117 | draft acceptance = 0.60000 (  246 accepted /   410 generated), mean len =  2.80
7.26.194.211 I slot      release: id  0 | task 2117 | stop processing: n_tokens = 477, truncated = 0
7.26.202.720 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 324578649078
7.26.226.741 I slot launch_slot_: id  0 | task 2257 | processing task, is_child = 0
7.29.520.406 I slot print_timing: id  0 | task 2257 | n_gen =    119, tg =  39.08 t/s, tg_3s =  39.41 t/s
7.32.524.506 I slot print_timing: id  0 | task 2257 | n_gen =    258, tg =  42.66 t/s, tg_3s =  46.27 t/s
7.35.539.961 I slot print_timing: id  0 | task 2257 | n_gen =    383, tg =  42.26 t/s, tg_3s =  41.45 t/s
7.35.572.426 I slot print_timing: id  0 | task 2257 | prompt eval time =     273.83 ms /    94 tokens (    2.91 ms per token,   343.27 tokens per second)
7.35.572.430 I slot print_timing: id  0 | task 2257 |        eval time =    9071.82 ms /   384 tokens (   23.69 ms per token,    42.22 tokens per second)
7.35.572.431 I slot print_timing: id  0 | task 2257 |       total time =    9345.66 ms /   478 tokens
7.35.572.432 I slot print_timing: id  0 | task 2257 |    graphs reused =       2291
7.35.572.436 I slot print_timing: id  0 | task 2257 | draft acceptance = 0.57109 (  241 accepted /   422 generated), mean len =  2.71
7.35.572.463 I slot      release: id  0 | task 2257 | stop processing: n_tokens = 477, truncated = 0
7.35.598.875 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 324588027330
7.35.630.837 I slot launch_slot_: id  0 | task 2402 | processing task, is_child = 0
7.38.893.932 I slot print_timing: id  0 | task 2402 | n_gen =    142, tg =  46.85 t/s, tg_3s =  47.18 t/s
7.41.926.264 I slot print_timing: id  0 | task 2402 | n_gen =    281, tg =  46.34 t/s, tg_3s =  45.84 t/s
7.44.333.129 I slot print_timing: id  0 | task 2402 | prompt eval time =     253.09 ms /    94 tokens (    2.69 ms per token,   371.41 tokens per second)
7.44.333.133 I slot print_timing: id  0 | task 2402 |        eval time =    8449.10 ms /   384 tokens (   22.06 ms per token,    45.33 tokens per second)
7.44.333.134 I slot print_timing: id  0 | task 2402 |       total time =    8702.19 ms /   478 tokens
7.44.333.135 I slot print_timing: id  0 | task 2402 |    graphs reused =       2422
7.44.333.138 I slot print_timing: id  0 | task 2402 | draft acceptance = 0.62095 (  249 accepted /   401 generated), mean len =  2.86
7.44.333.163 I slot      release: id  0 | task 2402 | stop processing: n_tokens = 477, truncated = 0
8.17.492.829 I srv    operator(): operator(): cleaning up before exit...
